name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,144,0,9,False
LinearOffChipLoad,144,9,18,False
LinearOffChipLoad,144,18,27,False
LinearOffChipLoad,144,27,36,False
LinearOffChipLoad,144,36,45,False
LinearOffChipLoad,144,45,54,False
UnaryMap,145,9,25,False
UnaryMap,145,25,41,False
UnaryMap,145,41,57,False
UnaryMap,145,57,73,False
UnaryMap,145,73,89,False
UnaryMap,145,89,105,False
OffChipStore,146,25,34,False
OffChipStore,146,34,50,False
OffChipStore,146,50,66,False
OffChipStore,146,66,82,False
OffChipStore,146,82,98,False
OffChipStore,146,98,114,False
